statement_id,speaker,speaker_role,quote,passage_context,venue,venue_type,date_value,date_precision,statement_type,search_method,producing_query,source_url,notes
68,Dean Smith,college head coach (North Carolina 1961-1997),I will never embarrass a young man publicly.,"[...] player, but I applaud[...] I will never embarrass a young man publicly. THE THREE-POINTER October 1993: You [...]","The World According to Dean: Four Decades of Basketball as Seen by Dean Smith (Barry Jacobs, Total Sports, 1998)",book,1998,year,personal rule,coach_name_search,"openlibrary.org full-text search: ""embarrass a player publicly""",https://openlibrary.org/search/inside?q=%22embarrass%20a%20young%20man%20publicly%22,"Printed context: ""...(mad at) the player, but I applaud... I will never embarrass a young man publicly."" (ellipsis is the book's own); also printed with attribution ""- Dean Smith"" in 1001 Motivational Messages and Quotes for Athletes and Coaches, visible on fetched page for q=""embarrass a player publicly""; OL snippet OCR renders capital I as a pipe character, normalized here; date of original utterance not shown - dated by anthology publication; caveat: curated quote anthology by UNC beat writer Barry Jacobs. Quote found in two books: (1) The World According to Dean by Barry Jacobs (1998) p.134; (2) 1001 Motivational Messages and Quotes for Athletes and Coaches by Bruce Brown (2001) p.206. Snippet OCR: vertical-bar (|) in raw snippet represents I throughout. Ellipses represent text omitted within snippet window. Section header THE THREE-POINTER and date October 1993 appear immediately after quote in Jacobs snippet."
69,Jim Calhoun,Head coach University of Connecticut 1986-2012; Hall of Fame 2005,"I will do everything I can to keep this from happening again in the future and, most importantly, will work to avoid putting my team, my university, the officials and the Big East in this unfortunate position again with ill-advised comments.","UConn coach Jim Calhoun was publicly reprimanded by the Big East after he called referee Wally Rutecki 'a bad official' and 'incompetent' during postgame media discussions following UConn's 69-60 win over Northeastern on Wednesday. Calhoun accepted the reprimand in a written statement Friday: 'I will do everything I can to keep this from happening again in the future and, most importantly, will work to avoid putting my team, my university, the officials and the Big East in this unfortunate position again with ill-advised comments.'",ESPN wire — Big East reprimand of Calhoun (December 2007),article,2007-12-07,day,personal rule,coach_name_search,"""Jim Calhoun"" basketball ""call out""",http://www.espn.com/espn/wire?id=3145818&section=ncb,Statement issued in response to mandatory Big East reprimand; conference policy prohibits public criticism of officiating; Calhoun had called Rutecki 'a bad official' and 'incompetent' in postgame media discussions after UConn's December 5 2007 win over Northeastern; also received two technical fouls and was ejected during the game; apology may be partly institutional rather than fully voluntary; passage_context assembled from two WebFetch calls of the ESPN wire page
70,Norm Stewart,"Retired University of Missouri men's head basketball coach (1967-99, 634 wins), speaking at his statue unveiling; out-of-roster classic college coach (not a Naismith coach-category enshrinee)","Because, you guys, it's not the first question you ask that's tough. It's the second and third one. So, what we try to do is bull(bleep) you until you forget the second and third one.","Lastly, as he talked to a room full of reporters, most too young to remember his peak years at Mizzou, Stewart shared some sage advice for dealing with the media, passed along from Devine, his former athletics director and MU's football coach in the 1960s. Said Stewart: ""Dan told me, 'If a guy asks you a question, just take your time and stroll it out a little bit. They don't have all day. Just give him a hell of a long answer because then maybe you don't have to answer the second question. Because, you guys, it's not the first question you ask that's tough. It's the second and third one. So, what we try to do is bull(bleep) you until you forget the second and third one.""","The Maryville Daily Forum (Dave Matter, St. Louis Post-Dispatch syndication), statue-unveiling press scrum",newspaper_article,2017-11-10,day,personal rule,topic_search_database,"AWN slot 2: basketball coach ""dealing with the media"" advice (alltext), page 2 rank 16",https://infoweb.newsbank.com/apps/news/document-view?p=AWNB&docref=news/16821BF42513FD38,VOICE-TRANSITION AMBIGUITY FLAGGED: the paragraph opens as a relay of Dan Devine's 1960s advice; the recorded quote span is read as Stewart's OWN voice because 'you guys' addresses the 2017 room and 'what we try to do' states his own practice — the span boundary is a judgment call. The Devine relay portion creates NO Devine item (R3 origin coach + rule B + ruling-1: football). Profanity dashed as printed ('bull(bleep)'). Syndicated Post-Dispatch story; fetched edition cited. Archive awnf_s2p2_r16_stewart.
71,Taylor Jenkins,"Head Coach, Memphis Grizzlies","I've never seen a more inconsistent, arrogant, officiated game. So, I'll take whatever hit is coming my way. I've got to protect our guys.","After the Grizzlies' 119-118 Game 4 playoff loss to the Minnesota Timberwolves, Jenkins told reporters: ""We gotta play better, but in my opinion one of the most poorly officiated games I've ever seen in my NBA career."" He detailed the disparity (""All five of our starters were borderline fouled out in the first quarter... 10+ foul difference, 40 free throws""), then added: ""I'm always going to look in the mirror and say: How do we play better, how do we coach better? But, I'm at a loss for words... I've never seen a more inconsistent, arrogant, officiated game. So, I'll take whatever hit is coming my way. I've got to protect our guys.""",Postgame media availability (news coverage),article,2022-04-23,day,reflection,coach_name_search,"""Taylor Jenkins"" basketball publicly",https://bealestreetbears.com/2022/04/24/memphis-grizzlies-jenkins-referee-game-4/,"Substance (officiating complaint + fine-awareness) is corroborated across 4 independent outlets (CBS Minnesota, Fadeaway World headline, basketballnews.com, bealestreetbears.com), but exact wording of the final sentence varies slightly source to source (""I'll take whatever hit is coming my way"" vs. ""hits are coming my way"" vs. ""hit's coming my way""), consistent with ordinary journalistic transcription variance rather than fabrication. No ASAP Sports or official transcript was located for this presser despite checking; quote_fidelity reflects exact wording as printed on the chosen source_url page."
72,Phil Jackson,"NY Knicks President of Basketball Operations (front-office executive) at time of tweet; formerly NBA head coach (Bulls, Lakers)","So after starting a 🔥storm with a misunderstood tweet, I offer this ✌️ our society is torn with discord. I'm against it. Let It Be","The New York Knicks president of basketball operations hadn't tweeted for more than a month until a post Tuesday referencing a Bleacher Report column that was critical of [Carmelo] Anthony... it did not take a massive leap for people to see this as another example of Jackson passive-aggressively needling the star forward. Jackson's peace offering tweet on Thursday read: ""So after starting a 🔥storm with a misunderstood tweet, I offer this ✌️ our society is torn with discord. I'm against it. Let It Be"" Jackson did not elaborate on how his Tuesday tweet was misinterpreted or what he was actually trying to say.","Twitter (@PhilJackson11), reported by CBS Sports and Larry Brown Sports",social_via_page,2017-02-09,day,reflection,coach_name_search,"""Phil Jackson"" basketball tweeted OR posted media",https://www.cbssports.com/nba/news/phil-jackson-takes-to-twitter-again-says-his-carmelo-tweet-was-misunderstood/,"At the time of this tweet Jackson held the Knicks front-office title of President of Basketball Operations, not an active head-coaching role -- flagging for reviewer since the census frames him via his coaching career. Emoji rendering (fire/peace-sign) varies slightly in character encoding across the two corroborating sources; the core text is identical across both."
73,Pat Summitt,"Head coach, Tennessee Lady Vols women's basketball (writing in retirement, memoir)","I tried to be correct and decorous in public; Geno was a smart-ass who would take negative attention over no attention at all. You could put a microphone on me for an hour and never hear anything worse than ""dadgummit""; he was notoriously foulmouthed.","There was tremendous personal contrast as well. I tried to be correct and decorous in public; Geno was a smart-ass who would take negative attention over no attention at all. You could put a microphone on me for an hour and never hear anything worse than ""dadgummit""; he was notoriously foulmouthed. I was intensely competitive but left it on the court; he was combative and carried grudges off the court.","Sum It Up: 1,098 Victories, a Couple of Irrelevant Losses, and a Life in Perspective (Pat Summitt with Sally Jenkins)",book,2013,year,personal rule,coach_name_search,"""Pat Summitt"" basketball media OR press",https://sports.yahoo.com/articles/pat-summitts-old-comments-geno-142305339.html,"Corroborated verbatim by independent second source (yardbarker.com). Distinct from the known-trap Sum It Up line ""You are just the voice of the team calling out that player,"" which is an AURIEMMA quote about team-internal talk and was correctly excluded, not confused with this item."
74,Stan Van Gundy,NBA head coach (Heat 2003-2005; Magic 2007-2012; Pistons 2014-2018; Pelicans 2020-2021),"You knew the question was coming, so I had time to prepare for it. It's not like it came out of the blue [and] I just [answered] off the top of my head ... I gave some thought to whether I was going to answer this honestly, or no comment or just lie.","'I just wanted the hell out of there.' Van Gundy did depart quickly upon Howard's arrival, leaving his center to deny claims that his coach had just publicly confirmed. Howard's hesitance to open up and tell the truth, following months of trade requests and rumors, clearly cost him in the public eye. 'It was already a big deal before he put his arm around me. You knew the question was coming, so I had time to prepare for it. It's not like it came out of the blue [and] I just [answered] off the top of my head ... I gave some thought to whether I was going to answer this honestly, or no comment or just lie.'","Grantland Network podcast (Dan Le Batard with Stan and Jeff Van Gundy), as quoted by CBSSports.com",podcast,2012-09-10,day,reflection,coach_name_search,"""Stan Van Gundy"" ""press conference""",https://www.cbssports.com/nba/news/stan-van-gundy-explains-infamous-press-conference-with-dwight-howard/,"Ellipsis and square-bracket insertions are as printed in the CBS article. The page attributes the passage to 'Van Gundy concluded', preceded by: 'It was already a big deal before he put his arm around me.' Same podcast appearance as the 'calculated' quote."
75,Red Auerbach,"Head coach, Boston Celtics","Since I've been in Boston, I've taken the attitude that since they are looking for an angle, I'll give them an honest one or none at all. You can't get into too much trouble if you tell them the truth. It would be much worse if you lied.","""You can't say nothing,"" Red explained later. ""There are eight papers in town, and with no pro football, they cover basketball and hockey all winter. That means the Bruins and the Celtics. Somebody is always watching, looking for an angle, because they have to produce copy every day. We've had games where 12 local reporters were covering. Since I've been in Boston, I've taken the attitude that since they are looking for an angle, I'll give them an honest one or none at all. You can't get into too much trouble if you tell them the truth. It would be much worse if you lied.""",SPORT Magazine,article,1956-02,month,personal rule,coach_name_search,"Follow-up partial-quote search ""Press hospitality was never high on Red Auerbach's"" (run without ""basketball""), itself triggered by Q12 archive.org/openlibrary search for ""Red Auerbach"" press",https://from-way-downtown.com/2021/10/31/%EF%BF%BCred-auerbach-hothead-on-the-boston-bench-1956/,"Contemporaneous 1956 magazine profile by a named journalist; verified via a blog's reproduction of the original article, not an original-scan copy -- the original SPORT Magazine page itself was not independently located within the fixed-query framework."
76,Sam Vincent,"Former NBA head coach (Charlotte Bobcats, 2007-08)",didn't do the best job expressing myself,"""There is going to be a very fortunate man coaching the Bobcats soon. I love what Michael is doing and the patience he is showing in building what I think will be a winner. I will always appreciate the experience I gained while working with the Bobcats organization and the insights MJ shared with me during my season as head coach. He was always there when I had a question or concern."" Vincent told Sam that he ""didn't do the best job expressing myself,"" which is a little odd, because I thought he was spot-on in his take on Jordan and the Bobcats.","Yahoo Sports ""Ball Don't Lie"" (Kelly Dwyer), reporting Vincent's interview with Bulls.com's Sam Smith",article,2012-04-18,day,reflection,coach_name_search,"Query 7 (""[full name]"" basketball postgame OR ""post game"") surfaced celticslife.com retrospective referencing Vincent's retraction of Jordan comments. NOTE: pinpointing this exact secondary source (Yahoo Sports URL) required one non-fixed/improvised web search rather than a fixed query or pure hyperlink-follow -- a protocol deviation disclosed in full in the log's Judgment Calls / Process Deviations section.",https://sports.yahoo.com/sam-vincent-backtracks-somewhat-comments-michael-jordan-ethic-160720239.html,"Original Washington Post remarks not independently located/verified by this agent -- only the walk-back (given to Bulls.com's Sam Smith, reported here by Yahoo Sports) was verified verbatim. Original Bulls.com page (http://www.nba.com/bulls/news/smith_120416.html) times out on repeated fetch attempts -- logged as a separate unresolved lead for Wayback recovery. PROCESS DEVIATION: locating this Yahoo Sports URL required one improvised/non-fixed search (""Sam Vincent retracts Michael Jordan comments Sporting News April 2012""), disclosed per protocol's hard rule on improvised supplemental queries -- flagging for reviewer judgment on whether to retain this row. The underlying lead (that a Jordan-comments retraction existed) was legitimately surfaced via fixed query 7."
77,George Karl,"NBA head coach (Cavaliers, Warriors, SuperSonics, Bucks, Nuggets, Kings; 1984-2016)","I was calm when I met the media after the game. I gave his ego a little break by taking some of the blame. 'I understand Kenyon's gone through a tough year,' I said. 'I know he's frustrated at the coaching, his knee, his playing time. I'm part of this failure, part of this relationship.'","We suspended Kenyon for the next two games, saying we couldn't tolerate such disrespect to the coach and to the team. But I was calm when I met the media after the game. I gave his ego a little break by taking some of the blame. 'I understand Kenyon's gone through a tough year,' I said. 'I know he's frustrated at the coaching, his knee, his playing time. I'm part of this failure, part of this relationship. I think I can get better from this, and hopefully he feels the same way. I think Kenyon's a damn good player and he has a competitive heart I love.' Maybe I was getting better at dealing with eccentric players.","Furious George: My Forty Years Surviving NBA Divas, Clueless GMs, and Poor Shot Selection (HarperCollins, 2017)",book,2017-01-10,day,reflection,coach_name_search,"""George Karl"" book excerpt (media OR press)",https://www.si.com/nba/2017/01/10/george-karl-book-excerpt-furious-george-carmelo-anthony-jr-smith,"Authorized SI excerpt reprinted with permission of HarperCollins (copyright 2016; book released 2017-01-10). Passage independently verified verbatim via archive.org full-text search of the book scan (item furiousgeorgemyf0000karl, printed p. 272). Context: Kenyon Martin's insubordination in the 2006 playoffs."
78,John Wooden,"NCAA head coach (UCLA Bruins Men's Basketball, 1948-1975)",I always tried to use this opportunity to praise those individuals the media would overlook.,"I always tried to use this opportunity to praise those individuals the media would overlook. I would say, 'When I put so-and-so in just before the half and he made that steal, it quite possibly could have been the turning point in the game.' I wanted to let other players know they were very important to the team. The press would give plenty of attention and praise to so-called stars: Bill Walton, Kareem Abdul-Jabbar, Gail Goodrich, Walter Hazzard, Sidney Wicks, Marques Johnson, David Meyers, and others. I would be more likely to praise these particular players privately. I wanted the public acknowledgment for players to be balanced.","'Wooden on Leadership' (book, John Wooden and Steve Jamison, 2005), section 'The Value in Feeling Valued,' Part III: Coaching, Teaching, Leading; secondary report via howtocoachvolleyball.com",book,2005,year,personal rule,coach_name_search,"""John Wooden"" basketball (postgame OR ""post game"")",https://howtocoachvolleyball.com/resources/69-most-impactful-stories-quotes-from-john-wooden/,"Quote appears on howtocoachvolleyball.com (coaching resources site, not a quote aggregator per task rules). Likely sourced from 'Wooden on Leadership' (Wooden and Jamison, 2005) per section-label evidence; primary book text not independently verified during this probe. Misattribution risk noted per task guidance for Wooden quotes; attribution is contextually consistent with known Wooden practices. A reviewer may exclude on grounds that the statement is about player-recognition strategy rather than public-communication conduct per se. Page 2 NOT triggered for this coach — fixed query page 1 returned only career-record, HOF, and bio pages (Sports-Reference, Wikipedia, ESPN Classic) with no near-misses about communication conduct. PRIMARY-UNVERIFIED in Wooden on Leadership (Wooden and Jamison 2005) directly; that book is not in the Open Library search-inside index. Primary-verification query https://openlibrary.org/search/inside?q=%22praise%20those%20individuals%20the%20media%20would%20overlook%22 found phrase only in Pat Williams' The Winning Combination (2010 p.264; IA: winningcombinati0000will), which directly quotes and cites Wooden on Leadership p.121; Wooden on Leadership itself not indexed. DISCREPANCY: howtocoachvolleyball.com attributes passage to Wooden: A Lifetime of Observations and Reflections On and Off the Court (1997); Pat Williams cites Wooden on Leadership (2005); both are Wooden/Jamison collaborations. Passage text captured from secondary source."
79,Adolph Rupp,"Head Coach, University of Kentucky (NCAA men's basketball, 1930–1972)","Hell, no. But anything for a column.","After a New York writer asked him to suggest some rule changes to improve the game, Rupp outlandishly proposed reintroducing the center jump after made baskets, removing the net and backboard from the hoop and raising the baskets by five feet. Later, someone asked Rupp if he really liked those ideas. Replied Rupp: 'Hell, no. But anything for a column.'",Racist or misunderstood? The fight for Adolph Rupp's legacy (Yahoo Sports),article,undated,undated,personal rule,coach_name_search,"""Adolph Rupp"" basketball media OR press reporters",https://sports.yahoo.com/racist-or-misunderstood-the-fight-for-adolph-rupps-legacy-143240711.html,Also cited at kentsterling.com (2010 article; site returned HTTP 403 on fetch). Original source not identified in Yahoo Sports article. Quote confirmed verbatim on fetched Yahoo Sports page. Rupp TV show framing suggests 1950s–60s but cannot be pinned more precisely.
80,Nick Nurse,"NBA head coach (Raptors, 2018-2023, at time of quote)",I'm not sure I know they're going to become stories. Sometimes I'm maybe a little too forthright.,"Nurse said with a laugh on Friday that he doesn't feel grumpier this season, although there have been more bumps in the road. Has publicly censuring a player, which attracts media attention, become part of his coaching strategy? ""I'm not sure I know they're going to become stories,"" Nurse said. ""Sometimes I'm maybe a little too forthright."" ""There are lots of ways of communication, lots of ways of getting your message across. We'll explore all those options until we can hopefully help these guys. It's only for their best interest and the best interest of our team.""","Raptors media availability, via The Globe and Mail",article,2020-01-10,day,reflection,coach_name_search,"""Nick Nurse"" ""publicly"" players ""call"" out media criticism approach",https://www.theglobeandmail.com/sports/basketball/article-nick-nurses-public-criticism-spurs-his-players-to-greater-heights/,"Same interview (Rachel Brady, Globe and Mail, 2020-01-10) adds: 'There are lots of ways of communication, lots of ways of getting your message across. We'll explore all those options until we can hopefully help these guys. It's only for their best interest and the best interest of our team.' — framing public criticism as a messaging channel (type 2). Date is the article date; remarks made that week. Globe and Mail article. Quote confirmed verbatim. Preceding article question and follow-up Nurse quote captured."
81,Roy Williams,UNC head basketball coach,"... And I apologize, talking to you [media about this], but my God, these are 18-, 19-, 20-year olds. Did any of you call my call in show? Then I apologize; I should tell them that. I thought I showed great restraint last night.","""I'm really proud of those kids,"" Williams said during his postgame media session on Tuesday. ""Everybody talked about how poorly they played at Georgia Tech. My radio call [show] last night stunk; everybody was talking about how they were Carolina fans for 9 million years and how bad we are; I don't give a [darn] how long you're a Carolina fans, those are kids in the locker room, and they played their buns off tonight. ""I can remember working for Coach [Dean] Smith, and we go down to Clemson, and we got beat 93-76, and I thought the world was going to end. ... But I didn't have anybody calling up the TV show, talking about my team. Don't call me next week and say how good we are; keep your [darn] phone calls to yourself."" ... And I apologize, talking to you [media about this], but my God, these are 18-, 19-, 20-year olds. Did any of you call my call in show? Then I apologize; I should tell them that. I thought I showed great restraint last night.",ESPN College Basketball Nation blog,article,2011-01-18,day,reflection,coach_name_search,"Q4 - ""Roy Williams"" basketball ""call out""",http://www.espn.com/blog/collegebasketballnation/post/_/id/21442/roy-williams-dont-call-me-anymore,"This second quotation begins with an ellipsis in the original ESPN blog post itself (confirmed on re-fetch), indicating omitted material between it and the first quotation (this row's companion candidate) -- not my own truncation."
82,Michael Haynes and the WABC Coaches Manual working group,"Primary writer and editor of the WABC (FIBA) Coaches Manual, per the series Introduction credits; Editor-in-Chief Patrick Hunt (then WABC President); contributions from Neil Gliddon, Peter Lonergan, Michael Haynes, Patrick Hunt, David Munns and Zoran Radovic; FIBA's professional coach-education body","Solidarity - coaches and players should not use the media to air grievances within the team, although the media will certainly invite such comments; Respect - anything said to the media will come to the attention of opponents, and coaches (and players) should avoid saying anything that may be disrespectful about opponents. Opponents are likely to use such comments as motivation; Reflection - coaches will often be asked to answer questions immediately after a game (or even during a game) which can be a time of high emotion. Coaches can be candid in such interviews (e.g. ""we did not play well today"", ""we were out-rebounded and we need to address that"" etc). However, coaches should be careful about making any personal criticism or drawing conclusions regarding the performance, instead leaving that for review within the team.","Important considerations when dealing with the media are: Clear lines of authority - who can comment upon matters? If anyone outside of that is asked about a topic their response should simply be ""no comment""; Key messages - having a position on an issue and re-iterating that message in all dealings with the media; Briefing - it is important for the club (and it may not be the responsibility of the coach) to ensure that people that may be asked questions by the media are briefed about issues; Access - at times, coaches may be tempted to stop players interacting with the media, particularly if it is seen as a distraction to players. In making that decision, the coach must understand what obligations the club or the league has regarding player availability. Excluding the media can also create greater interest from the media; Solidarity - coaches and players should not use the media to air grievances within the team, although the media will certainly invite such comments; Respect - anything said to the media will come to the attention of opponents, and coaches (and players) should avoid saying anything that may be disrespectful about opponents. Opponents are likely to use such comments as motivation; Reflection - coaches will often be asked to answer questions immediately after a game (or even during a game) which can be a time of high emotion. Coaches can be candid in such interviews (e.g. ""we did not play well today"", ""we were out-rebounded and we need to address that"" etc). However, coaches should be careful about making any personal criticism or drawing conclusions regarding the performance, instead leaving that for review within the team. Coaches should practice interview technique if it is likely that they will be contacted by the media. Rather than avoid media commitments (for themselves and players) the coach should consider designating times when the media can contact them.","WABC (FIBA) Coaches Manual, Level 3 (December 2016), section 2.3.1 'Managing the media'; also published at wabc.fiba.com",book,2016-12,month,advice,topic_search_open_web,"slot 2: basketball coach ""dealing with the media"" advice (t2, page 1) -> domain DNS-dead for the agent; recovered by the directing session via Wayback snapshot 20250115183520",https://wabc.fiba.com/manual/level-3/l3-coach/2-know-how/2-3-communication/2-3-1-managing-the-media/,"RECOVERY PROVENANCE: surfaced by t2's fixed query page 1; wabc.fiba.com wholly DNS-dead for agents and for direct fetch; section text verified verbatim in the Wayback web snapshot AND in the published Level 3 PDF (pp. 41-42). AUTHOR CREDIT (Ken's ruling 2026-07-05: sourced-to-authors means credited to them): the series Introduction volume's 'About this Resource' states verbatim - 'Patrick Hunt acted as Editor in Chief for this book, and the primary writer of the book was Michael Haynes who was also the editor. The book has contributions from Neil Gliddon, Peter Lonergan, Michael Haynes, Patrick Hunt, David Munns and Zoran Radovic.' (Basketball_Introduction_English.pdf, snapshot 20240518010320). CAVEATS flagged: section 2.3.1 itself is unsigned; the credits block describes the working-group resource series whose online form hosts the Level 1-3 manual; the Level 3 volume itself carries only the institutional copyright. Distinguished from the excluded WBCA social-media REGULATIONS (member rules) as advisory instruction to coaches. Page carries trilingual navigation artifacts; English section text used."
83,Mike Krzyzewski,college head coach (Duke 1980-2022),"In the postgame press conference, I reacted incorrectly to a reporter's question about my comment to Dillon.","Krzyzewski released a statement Saturday that said: ""Today, I spoke with Oregon head coach Dana Altman and apologized to him for my remarks to Dillon Brooks following our game. It is not my place to talk to another team's player and doing so took the focus away from the terrific game that Dillon played."" ""In the postgame press conference, I reacted incorrectly to a reporter's question about my comment to Dillon."" Brooks hit a 3-pointer as the shot clock wound down late in Oregon's 82-68 win over the Blue Devils.","Written statement released March 26, 2016, quoted in ESPN.com news story",article,2016-03-26,day,reflection,coach_name_search,"Krzyzewski Dillon Brooks 2016 apology statement press conference ""should not have""",https://www.espn.com/mens-college-basketball/story/_/id/15073476/duke-blue-devils-coach-mike-krzyzewski-apologizes-postgame-comments-oregon-dillon-brooks,"Context: at the presser he had denied telling Oregon's Dillon Brooks he was 'too good to be showing off'; CBS audio contradicted the denial; statement also apologizes to coach Dana Altman; follow-up query descended from prescribed ""Mike Krzyzewski"" ""press conference"". ESPN article. Quote confirmed verbatim within Krzyzewski written statement. Surrounding sentences confirmed via multiple fetches."
84,Becky Hammon,WNBA head coach (Las Vegas Aces 2022-present),"From what I heard, she did not tell a lie. She said the truth.","On Sunday, Las Vegas Aces coach Becky Hammon, who called out the officiating ahead of Game 1 of her team's semifinal series against the Indiana Fever, supported Reeve and her comments. ""From what I heard, she did not tell a lie. She said the truth,"" Hammon said. The same officiating crew that worked Game 3 in Phoenix is working Game 4 in Indiana on Sunday.","Media availability, 2025 WNBA semifinals, quoted in ESPN article",article,2025-09-28,day,reflection,coach_name_search,"""she did not tell a lie"" Hammon",https://www.espn.com/wnba/story/_/id/46412633/wnba-sources-data-show-link-injuries-missed-calls,"Said Sunday 2025-09-28 at media availability during the Aces-Fever semifinal series; ESPN article published 2025-09-28. Hammon was fined $1,000 for the comments (announced 2025-09-29). Refers to Reeve's 2025-09-26 postgame remarks. Producing query is a partial-quote follow-up; the lead first surfaced in an off-template targeted search and an SI article (logged)."
85,Doc Rivers,"NBA head coach (Philadelphia 76ers at time of quote; previously Celtics, Clippers)","Some questions, to me, are disrespectful, and I thought that one was… I do think, at times, we're gonna work together, and there has to be a level of respect. I wasn't comparing myself to Gregg Popovich. That's, again, where you say something and people run (with it). Maybe I should have said, 'you wouldn't ask Rick Carlisle that question.'","Tuesday morning on the Fanatic, John Kincade (no relation) asked about that exchange: Rivers: ""Some questions, to me, are disrespectful, and I thought that one was… I do think, at times, we're gonna work together, and there has to be a level of respect. I wasn't comparing myself to Gregg Popovich. That's, again, where you say something and people run (with it). Maybe I should have said, 'you wouldn't ask Rick Carlisle that question.'"" Eh, alright. It was pretty safe to assume that he felt disrespected by the question.","97.5 The Fanatic radio interview (John Kincade show), as quoted by Crossing Broad",other,2022-02-01,day,reflection,coach_name_search,"""Would you ask Pop that question"" [partial-quote follow-up search]",https://www.crossingbroad.com/2022/02/doc-rivers-elaborates-on-would-you-ask-pop-that-question-postgame-kerfuffle.html,"Radio interview (not podcast), hence venue_type other; ellipsis and parentheticals are as printed by Crossing Broad; follow-up search chained from a search snippet partially quoting his postgame line."
86,Courtney Banghart,University of North Carolina women's head basketball coach; out-of-roster college coach,"I think the key here is HIPAA (Health Insurance Portability and Accountability Act), so I don't think medical information, whether it's an ankle or COVID, it's not my information to share. I am negative, and that's the only information I can share about anyone else's medical history.","DTH: I know UNC's media relations has said they won't release any specifics about testing information, but I just wanted to give you the opportunity right now to make any comment you might have about if anyone from the women's basketball program has tested positive or seen symptoms or anything. CB: I think the key here is HIPAA (Health Insurance Portability and Accountability Act), so I don't think medical information, whether it's an ankle or COVID, it's not my information to share. I am negative, and that's the only information I can share about anyone else's medical history.","The Daily Tar Heel (University of North Carolina student newspaper), Q&A interview",newspaper_article,2020-07-13,day,personal rule,topic_search_database,"AWN slot 13: basketball coach ""media relations"" advice (alltext), page 1 rank 16",https://infoweb.newsbank.com/apps/news/document-view?p=AWNB&docref=news/17C360EA0F481430,BORDERLINE: the rule is grounded in privacy law rather than media-conduct norms; aboutness to public-statement practice is arguable. P27-family question for Ken. SOURCE-URL CORRECTION 2026-07-07: recorded docref replaced with the archived article's self-identifying docref (pilot results-page extraction was misaligned by one rank; see README 2026-07-07).
87,Dwane Casey,"Head Coach, Toronto Raptors (NBA)","I'm not trying to get anybody -- it's over with. I said what I had to say last night. I'm not trying to send a message. It was a comment about the game last night, and it's over with. ... I'm not going to comment on anything on the officiating.","Q. You were pretty passionate last night about the officiating. Do you think they'll hear your message, and two -- DWANE CASEY: I'm not trying to get anybody -- it's over with. I said what I had to say last night. I'm not trying to send a message. It was a comment about the game last night, and it's over with. Q. Did you hear from the league at all? DWANE CASEY: I'm not going to comment on anything on the officiating.","NBA Eastern Conference Finals: Raptors v Cavaliers -- practice/pregame media availability, May 22 2016",presser_transcript,2016-05-22,day,personal rule,coach_name_search,"Dwane Casey"" basketball ""call out"" (Q4 ALWAYS-20; candidate confirmed on page 1 of supplemental search ""called out"" OR ""publicly criticized"")",http://www.asapsports.com/show_interview.php?id=119428,Two logically linked but physically separate statements joined with ellipsis; both from consecutive Q&A exchanges in same transcript. NBA fine of $25K documented in CBSSports.com headline coverage of same date; the fine is not mentioned inside the ASAP transcript itself. Identity confirmed: Casey is Toronto Raptors head coach throughout the 2015-16 Eastern Conference Finals.
88,David Torbert,"Contributor, BreakthroughBasketball.com coaching-advice site (no bio available; coaching background unverified)","Be mindful the quote will be printed, so be diplomatic in any insights you have on the night's game.","Create a document before the season begins that you can use as a template to include the final score, scoring by quarters and offensive stats for both teams. Even make a section where you include some commentary on the game. Be mindful the quote will be printed, so be diplomatic in any insights you have on the night's game.",BreakthroughBasketball.com,article,2015,year,advice,topic_search_open_web,"slot 4: how basketball coaches should handle the media (initial search, page 1)",https://www.breakthroughbasketball.com/coaching/using-local-media-to-promote-players-program.html,Same dating/identity caveats as the companion row above; recorded separately because it is a distinct piece of advice (diplomacy in printed remarks) rather than the availability/non-avoidance advice in the other row.
89,Dan Muller,Illinois State University men's head basketball coach (10th season at publication); out-of-roster college coach,So I wanted to send something out to take responsibility for where we are at and to make sure fans and the public and just as importantly my players know that I absolutely love this group and believe in them.,"""I always know they hear the outside noise. If you watched 'The Social Dilemma' on Netflix, and we showed that to our team and talked about it,"" Muller said during the weekly coaches call. ""You lose four of five at home ... and I don't read or listen to anything from the outside, but I know the players do, and I also know people are disappointed about where we are at. So I wanted to send something out to take responsibility for where we are at and to make sure fans and the public and just as importantly my players know that I absolutely love this group and believe in them.""","Pekin Daily Times (Dave Eminian, Peoria Journal Star / USA TODAY Network syndication)",newspaper_article,2021-02-05,day,reflection,topic_search_database,"AWN slot 4: how basketball coaches should handle the media (alltext), page 1 rank 15 (duplicate at page 2 rank 4/7, Peoria Journal Star and Bradley Hoops editions)",https://infoweb.newsbank.com/apps/news/document-view?p=AWNB&docref=news/180774ACB81E0338,"The tweet itself ('I've been off social media since Aug, figured I should jump on to send 1 message...') is quoted verbatim in the passage and is itself a public coach statement about making public statements - noted for Ken. SOURCE-URL CORRECTION 2026-07-07: recorded docref replaced with the archived article's self-identifying docref (pilot results-page extraction was misaligned by one rank; see README 2026-07-07)."
